,start,stop,AUC,fpr,tpr,support,cm,fold,# support,condition,cm_,tnr,fnr
10,300,350,0.6666666666666666,0.5,0.5,"[ 0  1  5  6 11 12 14 17 22 24 26 29 31 34 35 38  2  3  4  7 10 13 16 18
 19 21 23 25 32 33 37 39 41]","[[3 3]
 [3 3]]",0,33,shuffle3,"[[0.5 0.5]
 [0.5 0.5]]",0.5,0.5
11,300,350,0.6805555555555556,0.5,0.8333333333333334,"[ 0  1  5  9 10 12 13 17 21 23 24 26 29 31 32 38  2  3  8 14 16 19 20 22
 25 27 33 35 37 39 41]","[[3 3]
 [1 5]]",1,31,shuffle3,"[[0.5        0.5       ]
 [0.16666667 0.83333333]]",0.5,0.16666666666666666
12,300,350,0.5,0.6,0.6,"[ 0  3  4  8  9 13 14 16 24 29 30 31 35 40  1  5  7 11 12 15 23 25 34 36
 39 41 43]","[[2 3]
 [2 3]]",2,27,shuffle3,"[[0.4 0.6]
 [0.4 0.6]]",0.4,0.4
13,300,350,0.52,0.2,0.2,"[ 0  1  5  6 11 12 14 19 20 23 26 29 31 33 34 35 39 40  2  3  7 10 13 17
 18 21 22 27 30 37 38 41]","[[4 1]
 [4 1]]",3,32,shuffle3,"[[0.8 0.2]
 [0.8 0.2]]",0.8,0.8
14,300,350,0.52,0.8,0.6,"[ 2  6  7 10 13 17 19 20 22 24 26 27 28 29 33 34 40  1  3  4  5  9 11 12
 16 21 23 35 39 41 43]","[[1 4]
 [2 3]]",4,31,shuffle3,"[[0.2 0.8]
 [0.4 0.6]]",0.2,0.4
0,200,250,0.5555555555555556,0.8333333333333334,0.5,"[ 1  3  5  6  8 10 12 13 14 15 24 26 27 29 31 34 36 37 40  0  4  9 11 16
 17 18 19 20 21 22 23 25 28 32 35 38 41]","[[1 5]
 [3 3]]",0,37,shuffle4,"[[0.16666667 0.83333333]
 [0.5        0.5       ]]",0.16666666666666666,0.5
1,200,250,0.7777777777777778,1.0,0.6666666666666666,"[ 1  2  3  5  6  7  9 10 11 12 14 27 30 35 36 37 40  0  4  8 16 17 18 19
 20 21 22 23 25 28 31 33 34 38]","[[0 6]
 [2 4]]",1,34,shuffle4,"[[0.         1.        ]
 [0.33333333 0.66666667]]",0.0,0.3333333333333333
2,200,250,1.0,0.6,0.0,"[ 1  3  4  7  9 10 11 13 22 24 26 28 30 37 38 39 42  2  6  8 14 15 16 17
 18 19 20 21 23 27 33 36 40 43]","[[2 3]
 [5 0]]",2,34,shuffle4,"[[0.4 0.6]
 [1.  0. ]]",0.4,1.0
3,200,250,0.76,1.0,0.6,"[ 1  3  5  6  7  8 10 13 14 15 16 17 28 30 31 33 34 36 43  0  9 12 18 19
 20 21 22 23 24 25 26 27 29 32 35 39]","[[0 5]
 [2 3]]",3,36,shuffle4,"[[0.  1. ]
 [0.4 0.6]]",0.0,0.4
4,200,250,0.72,0.6,0.0,"[ 1  3  4  5  7  8  9 10 11 20 22 23 24 26 28 30 34 37 39 42  0  6 12 13
 14 15 16 17 19 21 25 31 33 36 40]","[[2 3]
 [5 0]]",4,35,shuffle4,"[[0.4 0.6]
 [1.  0. ]]",0.4,1.0
5,250,300,0.44444444444444453,0.6666666666666666,0.6666666666666666,"[ 2  3  5  6  8 12 13 14 15 24 26 27 31 37 40  0  9 16 17 18 22 23 25 28
 33 38 39 41]","[[2 4]
 [2 4]]",0,28,shuffle4,"[[0.33333333 0.66666667]
 [0.33333333 0.66666667]]",0.3333333333333333,0.3333333333333333
6,250,300,0.5833333333333334,0.6666666666666666,0.8333333333333334,"[ 2  3  5  7  9 11 12 13 14 26 27 30 35 36 37 40  0  8 16 18 20 24 25 28
 31 38 39 41]","[[2 4]
 [1 5]]",1,28,shuffle4,"[[0.33333333 0.66666667]
 [0.16666667 0.83333333]]",0.3333333333333333,0.16666666666666666
7,250,300,0.64,0.4,0.8,"[ 0  1  4  7  9 11 12 13 24 26 28 30 32 37 39 42  6 14 15 16 18 19 20 21
 23 27 29 31 34 35 40 41 43]","[[3 2]
 [1 4]]",2,33,shuffle4,"[[0.6 0.4]
 [0.2 0.8]]",0.6,0.2
8,250,300,0.27999999999999997,0.8,0.6,"[ 2  6  8 10 13 15 16 17 28 30 31 33 34 36 43  0  9 12 18 19 20 21 24 26
 29 38 39]","[[1 4]
 [2 3]]",3,27,shuffle4,"[[0.2 0.8]
 [0.4 0.6]]",0.2,0.4
9,250,300,0.44000000000000006,0.6,0.6,"[ 1  3  4  8  9 10 11 20 22 24 26 28 30 37 38 39 42  0 12 14 15 17 19 21
 31 33 40 41]","[[2 3]
 [2 3]]",4,28,shuffle4,"[[0.4 0.6]
 [0.4 0.6]]",0.4,0.4
10,300,350,0.5833333333333334,0.5,0.5,"[ 2  3  5  6  8 12 13 14 15 24 26 27 29 31 34 37 40  0  4  9 16 17 18 19
 22 28 32 33 38 39 41]","[[3 3]
 [3 3]]",0,31,shuffle4,"[[0.5 0.5]
 [0.5 0.5]]",0.5,0.5
11,300,350,0.5277777777777778,0.8333333333333334,0.8333333333333334,"[ 2  3  5  7 11 12 13 14 15 27 30 32 35 36 37 40  0  8 16 17 18 19 20 24
 25 28 29 31 34 38 39]","[[1 5]
 [1 5]]",1,31,shuffle4,"[[0.16666667 0.83333333]
 [0.16666667 0.83333333]]",0.16666666666666666,0.16666666666666666
